532 2759
272 22 24
273 30 11
274 6 38
275 24 1
276 22 20
277 27 28
278 15 4
279 26 37
280 12 44
281 5 28
282 30 44
283 16 10
284 27 23
285 3 32
286 25 2
287 27 18
288 26 48
289 18 23
290 15 2
291 13 17
292 3 41
293 14 28
294 5 49
295 24 48
296 25 29
297 17 24
298 14 42
299 15 42
300 26 47
301 24 20
302 21 42
303 19 28
304 30 17
305 30 24
306 18 24
307 12 40
308 4 37
309 29 10
310 18 33
311 30 32
312 13 36
313 27 38
314 10 42
315 19 47
316 20 4
317 17 42
318 16 7
319 9 35
320 3 18
321 20 42
322 3 4
323 24 7
324 10 2
325 28 29
326 6 27
327 30 50
328 5 19
329 27 46
330 22 18
331 2 1
332 11 10
333 5 16
334 7 13
335 2 39
336 13 12
337 13 25
338 15 16
339 13 6
340 27 1
341 5 3
342 29 46
343 4 45
344 14 41
345 30 27
346 30 34
347 8 32
348 3 24
349 28 9
350 16 1
351 10 18
352 12 32
353 5 28
354 19 27
355 26 15
356 19 20
357 9 10
358 17 25
359 4 33
360 5 46
361 19 26
362 19 38
363 27 23
364 21 6
365 14 49
366 7 33
367 26 20
368 6 12
369 20 16
370 1 35
371 22 19
372 6 1
373 20 22
374 5 34
375 6 41
376 11 15
377 18 11
378 4 26
379 3 17
380 14 16
381 15 42
382 30 32
383 21 17
384 24 10
385 12 34
386 16 14
387 4 1
388 26 34
389 5 42
390 9 30
391 14 49
392 26 3
393 1 50
394 28 43
395 16 11
396 11 30
397 22 10
398 23 15
399 29 6
400 6 10
401 9 22
402 5 45
403 12 42
404 28 46
405 5 48
406 18 18
407 8 23
408 2 8
409 4 50
410 10 39
411 2 12
412 10 16
413 22 33
414 20 50
415 10 7
416 21 31
417 8 38
418 15 2
419 1 4
420 27 16
421 1 26
422 15 48
423 19 7
424 7 22
425 8 6
426 3 21
427 28 32
428 16 41
429 6 17
430 22 8
431 14 4
432 18 3
433 21 12
434 24 24
435 5 3
436 19 15
437 18 23
438 4 26
439 19 20
440 20 38
441 17 12
442 19 46
443 25 44
444 8 13
445 23 29
446 30 36
447 25 7
448 10 27
449 18 44
450 20 34
451 8 38
452 10 25
453 11 13
454 23 41
455 22 4
456 9 10
457 25 39
458 6 9
459 22 43
460 3 46
461 4 42
462 3 8
463 18 23
464 4 17
465 8 34
466 10 15
467 1 49
468 1 33
469 23 45
470 16 46
471 18 6
472 6 12
473 4 13
474 23 27
475 7 45
476 23 30
477 27 5
478 29 36
479 29 23
480 25 46
481 18 4
482 20 28
483 15 3
484 13 19
485 27 40
486 5 45
487 5 22
488 26 38
489 4 30
490 16 40
491 5 40
492 12 13
493 17 10
494 20 25
495 12 4
496 21 39
497 10 32
498 9 16
499 14 33
500 14 31
501 2 48
502 17 16
503 19 34
504 5 4
505 14 22
506 16 40
507 12 17
508 24 8
509 6 3
510 12 10
511 19 4
512 30 20
513 18 20
514 5 21
515 4 20
516 3 25
517 20 31
518 2 40
519 15 48
520 14 28
521 10 39
522 7 31
523 17 22
524 10 34
525 26 23
526 23 34
527 7 45
528 3 14
529 6 39
530 16 20
531 9 41
532 14 28
